0	0
0.2	96.5331
0.4	816.727
0.6	774.565
0.8	770.285
1	775.778
1.2	781.243
1.4	783.498
1.6	782.166
1.8	777.819
2	771.359
2.2	763.658
2.4	755.39
2.6	746.972
2.8	738.748
3	730.91
3.2	723.536
3.4	716.548
3.6	710.139
3.8	704.094
4	698.415
4.2	693.073
4.4	688.122
4.6	683.441
4.8	679.031
5	674.914
5.2	671.006
5.4	667.334
5.6	663.877
5.8	660.552
6	657.405
6.2	654.453
6.4	651.612
6.6	648.961
6.8	646.43
7	643.979
7.2	641.617
7.4	639.375
7.6	637.211
7.8	635.198
8	633.285
8.2	631.48
8.4	629.716
8.6	628.052
8.8	626.467
9	624.925
9.2	623.444
9.4	622.034
9.6	620.679
9.8	619.375
10	618.128
10.2	616.933
10.4	615.795
10.6	614.7
10.8	613.645
11	612.636
11.2	611.665
11.4	610.734
11.6	609.842
11.8	608.987
12	608.151
12.2	607.345
12.4	606.566
12.6	605.81
12.8	605.064
13	604.34
13.2	603.629
13.4	602.946
13.6	602.281
13.8	601.629
14	600.993
14.2	600.378
14.4	599.783
14.6	599.203
14.8	598.639
15	598.093
15.2	597.563
15.4	597.047
15.6	596.54
15.8	596.044
16	595.56
16.2	595.091
16.4	594.634
16.6	594.189
16.8	593.755
17	593.33
17.2	592.918
17.4	592.517
17.6	592.124
17.8	591.74
18	591.364
18.2	590.996
18.4	590.637
18.6	590.284
18.8	589.939
19	589.601
19.2	589.271
19.4	588.947
19.6	588.631
19.8	588.321
20	588.018
20.2	587.72
20.4	587.428
20.6	587.142
20.8	586.864
21	586.59
21.2	586.322
21.4	586.059
21.6	585.801
21.8	585.547
22	585.296
22.2	585.051
22.4	584.811
22.6	584.576
22.8	584.345
23	584.12
23.2	583.899
23.4	583.683
23.6	583.472
23.8	583.268
24	583.066
24.2	582.868
24.4	582.674
24.6	582.485
24.8	582.3
25	582.12
25.2	581.946
25.4	581.775
25.6	581.608
25.8	581.443
26	581.283
26.2	581.125
26.4	580.969
26.6	580.815
26.8	580.665
27	580.518
27.2	580.37
27.4	580.222
27.6	580.073
27.8	579.926
28	579.778
28.2	579.631
28.4	579.485
28.6	579.339
28.8	579.196
29	579.052
29.2	578.91
29.4	578.772
29.6	578.638
29.8	578.506
30	578.379
30.2	578.254
30.4	578.138
30.6	578.019
30.8	577.905
31	577.796
31.2	577.694
31.4	577.59
31.6	577.487
31.8	577.392
32	577.295
32.2	577.201
32.4	577.115
32.6	577.029
32.8	576.94
33	576.865
33.2	576.796
33.4	576.721
33.6	576.647
33.8	576.579
34	576.512
34.2	576.455
34.4	576.397
34.6	576.344
34.8	576.29
35	576.238
35.2	576.181
35.4	576.125
35.6	576.069
35.8	576.015
36	575.96
36.2	575.901
36.4	575.839
36.6	575.767
36.8	575.705
37	575.643
37.2	575.586
37.4	575.527
37.6	575.462
37.8	575.406
38	575.363
38.2	575.34
38.4	575.313
38.6	575.276
38.8	575.236
39	575.2
39.2	575.171
39.4	575.162
39.6	575.136
39.8	575.121
40	575.103
40.2	575.091
40.4	575.081
40.6	575.05
40.8	575.016
41	575.001
41.2	574.999
41.4	574.966
41.6	574.957
41.8	574.973
42	575.006
42.2	575.03
42.4	575.056
42.6	575.079
42.8	575.126
43	575.181
43.2	575.235
43.4	575.286
43.6	575.346
43.8	575.402
44	575.501
44.2	575.572
44.4	575.615
44.6	575.643
44.8	575.675
45	575.732
45.2	575.789
45.4	575.838
45.6	575.903
45.8	575.961
46	576.043
46.2	576.137
46.4	576.194
46.6	576.288
46.8	576.476
47	576.602
47.2	576.725
47.4	576.818
47.6	576.948
47.8	577.085
48	577.197
48.2	577.397
48.4	577.587
48.6	577.764
48.8	577.818
49	577.909
49.2	578.101
49.4	578.284
49.6	578.433
49.8	578.534
50	578.755
50.2	579.021
50.4	579.285
50.6	579.53
50.8	579.861
51	580.167
51.2	580.601
51.4	581.106
51.6	581.361
51.8	581.766
52	582.053
52.2	582.431
52.4	582.838
52.6	583.294
52.8	583.693
53	583.986
53.2	584.372
53.4	584.738
53.6	585.116
53.8	585.528
54	585.937
54.2	586.346
54.4	586.85
54.6	587.36
54.8	587.91
55	588.444
55.2	588.983
55.4	589.494
55.6	589.973
55.8	590.581
56	591.231
56.2	591.965
56.4	592.632
56.6	593.39
56.8	593.981
57	594.661
57.2	595.381
57.4	596.048
57.6	596.823
57.8	597.333
58	597.93
58.2	598.612
58.4	599.261
58.6	600.15
58.8	600.882
59	601.876
59.2	602.657
59.4	603.355
59.6	604.476
59.8	605.393
60	606.406
60.2	607.297
60.4	608.303
60.6	609.168
60.8	610.005
61	610.916
61.2	611.741
61.4	612.444
61.6	613.114
61.8	613.865
62	614.709
62.2	615.548
62.4	616.19
62.6	617.342
62.8	618.443
63	619.498
63.2	620.631
63.4	621.757
63.6	622.91
63.8	624.011
64	625.18
64.2	626.372
64.4	627.443
64.6	628.351
64.8	629.234
65	630.142
65.2	630.637
65.4	630.886
65.6	631.13
65.8	631.686
66	632.841
66.2	633.82
66.4	634.987
66.6	636.294
66.8	637.694
67	639.066
67.2	640.453
67.4	641.54
67.6	642.612
67.8	643.396
68	643.675
68.2	644.096
68.4	644.339
68.6	644.443
68.8	644.657
69	645.2
69.2	645.469
69.4	646.322
69.6	647.609
69.8	648.833
70	650.186
70.2	651.795
70.4	653.305
70.6	654.764
70.8	655.838
71	656.824
71.2	657.073
71.4	657.27
71.6	656.997
71.8	656.909
72	656.325
72.2	656.003
72.4	655.985
72.6	656.472
72.8	657.713
73	659.119
73.2	660.793
73.4	662.427
73.6	664.28
73.8	665.556
74	666.508
74.2	667.1
74.4	667.139
74.6	666.515
74.8	665.874
75	665.276
75.2	664.713
75.4	664.548
75.6	664.327
75.8	664.8
76	665.598
76.2	667.222
76.4	669.036
76.6	670.897
76.8	672.859
77	673.908
77.2	674.949
77.4	675.188
77.6	674.808
77.8	674.345
78	673.002
78.2	672.011
78.4	671
78.6	670.191
78.8	670.092
79	670.465
79.2	671.788
79.4	673.473
79.6	675.377
79.8	677.145
80	678.919
80.2	679.984
80.4	680.34
80.6	680.585
80.8	679.599
81	678.342
81.2	676.939
81.4	675.804
81.6	674.717
81.8	674.379
82	674.273
82.2	674.897
82.4	676.039
82.6	678.16
82.8	680.144
83	682.035
83.2	683.866
83.4	684.465
83.6	684.818
83.8	684.316
84	683.223
84.2	681.727
84.4	680.132
84.6	678.643
84.8	677.676
85	676.995
85.2	677.144
85.4	678.272
85.6	679.912
85.8	681.954
86	683.931
86.2	685.716
86.4	686.835
86.6	687.122
86.8	687.188
87	686.197
87.2	684.541
87.4	682.756
87.6	681.321
87.8	679.873
88	679.328
88.2	678.924
88.4	679.477
88.6	680.547
88.8	682.627
89	684.821
89.2	686.664
89.4	688.451
89.6	689.155
89.8	689.464
90	688.742
90.2	687.407
90.4	685.746
90.6	683.878
90.8	682.315
91	681.094
91.2	680.253
91.4	680.361
91.6	681.32
91.8	682.922
92	685.06
92.2	687.069
92.4	688.893
92.6	690.009
92.8	690.283
93	690.075
93.2	689.087
93.4	687.29
93.6	685.316
93.8	683.643
94	682.141
94.2	681.53
94.4	681.033
94.6	681.583
94.8	682.611
95	684.711
95.2	686.952
95.4	688.827
95.6	690.576
95.8	691.316
96	691.57
96.2	690.68
96.4	689.265
96.6	687.445
96.8	685.496
97	683.853
97.2	682.528
97.4	681.654
97.6	681.77
97.8	682.728
98	684.361
98.2	686.508
98.4	688.545
98.6	690.346
98.8	691.429
99	691.643
99.2	691.366
99.4	690.231
99.6	688.374
99.8	686.319
100	684.59
100.2	683.06
100.4	682.42
100.6	681.926
100.8	682.512
101	683.573
101.2	685.721
101.4	687.945
101.6	689.82
101.8	691.522
102	692.224
102.2	692.371
102.4	691.45
102.6	689.965
102.8	688.071
103	686.068
103.2	684.408
103.4	683.095
103.6	682.237
103.8	682.374
104	683.399
104.2	685.051
104.4	687.225
104.6	689.3
104.8	691.031
105	692.08
105.2	692.211
105.4	691.868
105.6	690.717
105.8	688.75
106	686.662
106.2	684.924
106.4	683.403
106.6	682.775
106.8	682.32
107	682.879
107.2	684.044
107.4	686.235
107.6	688.388
107.8	690.319
108	691.963
108.2	692.59
108.4	692.643
108.6	691.706
108.8	690.181
109	688.233
109.2	686.21
109.4	684.505
109.6	683.275
109.8	682.462
110	682.608
110.2	683.741
110.4	685.416
110.6	687.599
110.8	689.683
111	691.391
111.2	692.354
111.4	692.441
111.6	692.017
111.8	690.847
112	688.812
112.2	686.695
112.4	685.011
112.6	683.485
112.8	682.874
113	682.489
113.2	683.065
113.4	684.323
113.6	686.537
113.8	688.627
114	690.583
114.2	692.215
114.4	692.751
114.6	692.71
114.8	691.751
115	690.215
115.2	688.218
115.4	686.162
115.6	684.515
115.8	683.316
116	682.556
116.2	682.765
116.4	683.967
116.6	685.701
116.8	687.812
117	689.955
117.2	691.622
117.4	692.5
117.6	692.559
117.8	692.038
118	690.823
118.2	688.755
118.4	686.641
118.6	684.957
118.8	683.475
119	682.883
119.2	682.533
119.4	683.208
119.6	684.54
119.8	686.775
120	688.913
120.2	690.784
120.4	692.422
120.6	692.842
120.8	692.715
121	691.705
121.2	690.177
121.4	688.141
121.6	686.074
121.8	684.467
122	683.348
122.2	682.595
122.4	682.844
122.6	684.145
122.8	685.933
123	688
123.2	690.142
123.4	691.753
123.6	692.564
123.8	692.595
124	692.132
124.2	690.648
124.4	688.64
124.6	686.531
124.8	684.879
125	683.422
125.2	682.856
125.4	682.632
125.6	683.317
125.8	684.681
126	687.049
126.2	689.141
126.4	690.955
126.6	692.527
126.8	692.883
127	692.656
127.2	691.603
127.4	690.063
127.6	688.029
127.8	685.972
128	684.38
128.2	683.282
128.4	682.607
128.6	682.891
128.8	684.335
129	686.1
129.2	688.182
129.4	690.4
129.6	691.833
129.8	692.597
130	692.577
130.2	692.171
130.4	690.47
130.6	688.496
130.8	686.387
131	684.746
131.2	683.321
131.4	682.814
131.6	682.66
131.8	683.422
132	684.901
132.2	687.208
132.4	689.299
132.6	691.199
132.8	692.591
133	692.966
133.2	692.627
133.4	691.558
133.6	689.922
133.8	687.884
134	685.835
134.2	684.268
134.4	683.16
134.6	682.619
134.8	682.899
135	684.461
135.2	686.251
135.4	688.339
135.6	690.494
135.8	691.878
136	692.63
136.2	692.54
136.4	692.117
136.6	690.309
136.8	688.343
137	686.232
137.2	684.585
137.4	683.248
137.6	682.727
137.8	682.69
138	683.48
138.2	685.054
138.4	687.358
138.6	689.454
138.8	691.431
139	692.643
139.2	692.978
139.4	692.583
139.6	691.405
139.8	689.782
140	687.731
140.2	685.7
140.4	684.161
140.6	683.105
140.8	682.64
141	682.976
141.2	684.605
141.4	686.415
141.6	688.499
141.8	690.614
142	691.974
142.2	692.672
142.4	692.611
142.6	692.023
142.8	690.152
143	688.22
143.2	686.098
143.4	684.448
143.6	683.241
143.8	682.698
144	682.742
144.2	683.579
144.4	685.233
144.6	687.535
144.8	689.608
145	691.576
145.2	692.705
145.4	692.988
145.6	692.536
145.8	691.247
146	689.647
146.2	687.565
146.4	685.581
146.6	684.074
146.8	683.022
147	682.664
147.2	683.069
147.4	684.763
147.6	686.596
147.8	688.743
148	690.616
148.2	692.062
148.4	692.741
148.6	692.59
148.8	691.959
149	690.006
